Similarity Score_105,Similarity Score_414,Similarity Score_417,Similarity Score_422,Similarity Score_430,Variance,Skewness,Kurtosis,Compactness,FD_Mag2,FD_Mag3,FD_Mag4,FD_Mag5,FD_Mag6,FD_Mag7,FD_Mag8,FD_Mag9,FD_Mag10,FD_Mag11,FD_Mag12,FD_Mag13,FD_Mag14,FD_Mag15,FD_Mag16,FD_Mag17,FD_Mag18,FD_Mag19,FD_Mag20,Label
87.426526,84.68606245,86.47779863,87.72779507,91.4097754,4460.035,0.387025,1.895137,22.67492,0.340285477,0.011851296,0.025750084,0.002923703,0.00750763,0.00371109,0.002429725,0.000986147,0.002680843,0.00050809,0.001761888,0.000318428,0.001468193,0.000788589,0.001344278,0.00015339,0.000918965,0.000578425,0.001191477,RRII 105
90.36173142,89.40424735,83.71969575,90.29642088,88.6177173,5286.169,0.379934,1.864128,21.47012,0.338051283,0.011399743,0.029612198,0.002259562,0.005740726,0.003109036,0.002957516,0.001816987,0.002593484,0.001288007,0.00090962,0.000969134,0.00171576,0.000206143,0.000810288,0.000638592,0.001125236,0.000415679,0.00072097,RRII 105
81.64365248,76.17475326,69.97751667,76.9744015,75.143046,2847.299,0.409568,1.902731,19.98477,0.279513163,0.009351454,0.023127072,0.000323772,0.004829689,0.002139708,0.001363407,0.000919477,0.001712234,0.000348343,0.000957022,0.000579235,0.001278558,0.000506958,0.000915884,0.00022027,0.000806531,0.00063521,0.000879011,RRII 105
90.53760789,90.12767321,84.84491895,91.21410186,89.8769135,5344.984,0.400722,1.855467,23.44722,0.333937629,0.009274937,0.027192091,0.002427808,0.007906441,0.001999951,0.003307735,0.000495394,0.002185909,0.000763853,0.001727418,0.001084345,0.001903945,0.000125073,0.000588223,0.000763617,0.001328733,0.000372691,0.000574841,RRII 105
91.08866403,89.42074217,84.7300408,91.0036245,90.0336262,4731.874,0.42114,1.905724,20.53608,0.34286418,0.01177544,0.029646954,0.002391875,0.006163579,0.002147439,0.003569463,0.000750601,0.001928097,0.001221789,0.00092483,0.001053659,0.001570448,0.00015147,0.000707356,0.000691704,0.000922738,0.000388724,0.000617283,RRII 105
89.55521533,96.68279509,94.41145751,96.49144067,94.7133242,10076.75,0.286103,1.745603,25.37582,0.419173745,0.006762935,0.037295553,0.001402254,0.008276503,0.004234064,0.005342747,0.000343574,0.001757595,0.001294116,0.002664169,0.000215588,0.000922235,0.001063184,0.001766847,0.000542092,0.000683918,0.000655056,0.001178458,RRII 105
86.9697955,86.15886269,78.72688567,85.90156002,83.2037682,4657.418,0.418403,1.851132,21.35205,0.321503925,0.006113058,0.028229556,0.002452555,0.007059497,0.003856161,0.000866949,0.001186146,0.002382473,0.00047901,0.001110283,0.001576767,0.00143971,0.000313272,0.000664204,0.000585542,0.001384434,0.000143787,0.000651462,RRII 105
91.22944792,95.3615382,91.63436545,95.96509073,94.7856848,5038.663,0.430976,1.900627,19.63548,0.383564053,0.015127106,0.035437066,0.00035549,0.008021054,0.004148823,0.004125039,0.000895023,0.002015149,0.000924453,0.002296871,0.000397359,0.000674639,0.000564043,0.001476129,0.000297114,0.000202206,0.000782074,0.000977956,RRII 105
84.08481376,85.58950264,77.57665771,84.28663665,81.1365324,5407.381,0.411553,1.890961,22.04534,0.337021981,0.005844918,0.029110897,0.001912986,0.005852841,0.002381754,0.003339524,0.001556908,0.001796112,0.001205115,0.002602768,0.000446553,0.001320863,0.00038485,0.00111614,0.000679449,0.001058807,0.000530805,0.000671181,RRII 105
93.05562975,96.90455923,95.6262506,98.42291678,98.0638503,9360.975,0.309147,1.887398,27.0542,0.377824126,0.018320912,0.034351534,0.0017216,0.007657401,0.001171385,0.00394984,0.000633297,0.003121244,0.000224798,0.00071672,0.001226494,0.001872358,0.000815481,0.000415345,0.001098585,0.001132191,0.000295902,0.00033909,RRII 105
89.76000162,93.6077162,88.01771095,93.3237534,91.2226476,6339.416,0.373613,1.872306,23.79489,0.350093911,0.010601306,0.029081016,0.000446135,0.005261831,0.002288857,0.004825695,0.000925272,0.002116976,0.001369411,0.002440467,0.000253171,0.001304482,0.001099931,0.001294292,0.000447003,0.000712156,0.001013736,0.000690373,RRII 105
90.2125334,95.68776088,90.43402577,95.22063653,92.5686687,6913.033,0.411023,1.90797,21.20587,0.397255584,0.010239103,0.035473738,0.001413505,0.007488041,0.002156961,0.005411017,0.002269291,0.001451325,0.001607644,0.001750729,0.00067644,0.000974604,0.001153665,0.00192947,0.000324291,0.000319956,0.000609696,0.000752003,RRII 105
90.49055073,95.44198606,97.07658116,96.83024297,97.3503344,10719.23,0.301427,1.809891,25.74995,0.434803515,0.015755216,0.039142032,0.001788375,0.008946614,0.003734152,0.00559648,0.000310572,0.004036391,0.001432547,0.00199351,0.000706532,0.002088775,0.000425772,0.000734334,0.001128067,0.001525621,0.000230623,0.001007721,RRII 105
92.79204798,95.46291768,92.77543354,96.97343153,96.6109726,6404.188,0.356273,1.852576,22.40437,0.372149828,0.014393765,0.033129211,0.000715212,0.006242803,0.002744225,0.003910646,0.000415669,0.001857348,0.001591774,0.001345361,0.00018332,0.001604277,0.00098616,0.00102476,0.000897318,0.001306006,0.000264526,0.000843578,RRII 105
87.85573819,89.86281908,82.92255335,89.35055688,86.7576929,5114.884,0.413601,1.903715,21.21594,0.345847514,0.005971505,0.030178408,0.004240282,0.006188913,0.001618101,0.004823244,0.000447427,0.002616164,0.001129113,0.002267116,0.000458713,0.000566063,0.000859527,0.000810637,0.000418782,0.000722143,0.000674821,0.001174024,RRII 105
89.59202164,96.23411054,91.47645743,95.44344216,92.7846269,7922.57,0.400673,1.879655,21.831,0.415296217,0.015572201,0.036057088,0.000990452,0.006574113,0.004289178,0.004815732,0.001597123,0.001861881,0.002872038,0.002385847,0.000356193,0.000750307,0.000698961,0.001628866,0.000359468,0.000489273,0.000885408,0.001077243,RRII 105
90.8378852,97.17254002,95.49191033,97.54982384,96.2895668,10452.66,0.315989,1.791116,24.88636,0.406192184,0.017082028,0.038593264,0.005034541,0.009942319,0.00397644,0.003879581,0.002203332,0.002197761,0.001436429,0.001441472,0.000287827,0.001459458,0.000965853,0.001116252,0.000808671,0.001518288,0.000249449,0.000425748,RRII 105
91.8516672,89.56870869,90.48901647,93.03912652,95.4229262,6902.434,0.362021,1.850922,23.54382,0.372367992,0.009681909,0.031841193,0.006527879,0.009065447,0.003641973,0.002276268,0.001501846,0.004309,0.000459975,0.001509623,0.001608344,0.001110602,0.00046928,0.002033516,0.0006026,0.000998004,0.00103764,0.000806103,RRII 105
87.2679121,83.17205349,78.45002181,84.9283482,83.9508855,4034.624,0.376608,1.862029,22.32589,0.295693613,0.020717701,0.02322711,0.005610935,0.007576011,0.003016428,0.002474817,0.001977376,0.002818083,0.00056186,0.001730061,0.001293679,0.001026869,0.00069437,0.001484318,0.000589233,0.000509039,0.000908955,0.001251669,RRII 105
78.76023311,75.82200272,68.10494435,75.29581371,72.4554569,2577.255,0.528849,2.126171,21.16103,0.279190052,0.013628416,0.015155634,0.003656047,0.003586551,0.001143817,0.004551249,0.001100143,0.002107617,0.001703783,0.002105491,0.000604908,0.001491642,0.001074455,0.001588249,0.000472368,0.001331519,0.00067616,0.000847104,RRII 105
79.72141862,75.7547199,68.43331268,75.57262831,73.0638455,3898.569,0.403466,1.893544,21.81484,0.285684589,0.004989835,0.023539337,0.00316837,0.006033766,0.002741812,0.002911477,0.000822399,0.00226187,0.000757104,0.001476622,0.000535151,0.001760797,0.000113596,0.000734621,0.000743221,0.001091455,0.000404242,0.000737183,RRII 105
92.39996272,92.31380437,93.59782951,95.52420621,97.9004236,6508.234,0.364086,1.893726,23.73723,0.363319277,0.020725761,0.027632436,0.001816764,0.007218667,0.002533764,0.003497473,0.001516432,0.002995964,0.00079183,0.001009594,0.000360518,0.001604599,0.000802706,0.001225438,0.00075942,0.000920332,0.000856459,0.001295098,RRII 105
86.87985608,88.19243758,80.79911697,87.44593863,84.6820744,5141.696,0.404274,1.884045,22.12986,0.337848074,0.011742966,0.027795246,0.001811226,0.005606383,0.002405045,0.003754966,0.000735155,0.001642563,0.001636917,0.001604141,0.000478185,0.000696458,0.001067259,0.001189709,0.000520868,0.000937171,0.000346165,0.001107059,RRII 105
89.79836645,89.68623475,95.32701028,93.22503015,97.2448341,8293.617,0.301248,1.777465,27.6442,0.420076486,0.017307271,0.034805678,0.002008529,0.008986946,0.002940927,0.002739849,0.002860783,0.00302655,0.001309374,0.001770409,0.001766801,0.002069922,0.000879496,0.001833425,0.000499937,0.001125164,0.001213401,0.001229595,RRII 105
93.47491153,94.73168635,93.2414159,96.97647506,97.475433,6670.491,0.355855,1.864682,22.27406,0.375287773,0.012322076,0.034003788,0.001811975,0.008009759,0.002679097,0.003639738,0.000700408,0.003122312,0.00082558,0.001129786,0.000413655,0.001474803,0.000720163,0.000639764,0.000261519,0.000483965,0.000899629,0.000868394,RRII 105
89.34918003,94.69518342,88.5558238,93.76783042,90.8797064,7374.089,0.45928,1.885796,25.06728,0.383334245,0.037182596,0.03168362,0.015477267,0.013894279,0.005097964,0.00365113,0.004691007,0.003700037,0.003350711,0.002470164,0.002587135,0.002173422,0.000603905,0.001093956,0.001243407,0.000605702,0.00152996,0.00047636,RRII 105
